0.5,4.1621e-12
0.475,5.2196e-12
0.45,3.5419e-12
0.425,3.833e-12
0.4,3.4119e-12
0.375,3.1724e-12
0.35,3.4932e-12
0.325,3.3829e-12
0.3,3.1915e-12
0.275,4.0528e-12
0.25,4.0638e-12
0.225,3.0727e-12
0.2,3.6268e-12
0.175,2.5471e-12
0.15,2.3935e-12
0.125,2.6311e-12
0.1,1.9105e-12
0.075,1.7669e-12
0.05,1.5672e-12
0.025,1.3683e-12
-7.4506e-09,1.6108e-12
-0.025,1.7038e-12
-0.05,1.802e-12
-0.075,1.9913e-12
-0.1,2.2392e-12
-0.125,2.7628e-12
-0.15,3.2904e-12
-0.175,3.7105e-12
-0.2,4.2672e-12
-0.225,4.3773e-12
-0.25,5.2697e-12
-0.275,5.2746e-12
-0.3,5.783e-12
-0.325,5.242e-12
-0.35,5.4836e-12
-0.375,5.2626e-12
-0.4,5.361e-12
-0.425,5.4458e-12
-0.45,8.0416e-12
-0.475,6.0251e-12
-0.5,7.5759e-12
